"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 09 08:14:12 GMT 2022","Fri Dec 09 08:14:16 GMT 2022","3281","firefox","example.spec.js","","","","Select the Product ",""
"passed","Fri Dec 09 08:14:16 GMT 2022","Fri Dec 09 08:14:17 GMT 2022","1151","firefox","example.spec.js","","","","Check out",""
"passed","Fri Dec 09 08:14:09 GMT 2022","Fri Dec 09 08:14:10 GMT 2022","1665","chromium","example.spec.js","","","","Select the Product ",""
"passed","Fri Dec 09 08:14:10 GMT 2022","Fri Dec 09 08:14:12 GMT 2022","1422","chromium","example.spec.js","","","","Check out",""
"passed","Fri Dec 09 08:14:18 GMT 2022","Fri Dec 09 08:14:22 GMT 2022","4017","webkit","example.spec.js","","","","Select the Product ",""
"passed","Fri Dec 09 08:14:22 GMT 2022","Fri Dec 09 08:14:25 GMT 2022","2693","webkit","example.spec.js","","","","Check out",""
