"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 07 13:36:42 GMT 2022","Wed Dec 07 13:36:45 GMT 2022","3005","webkit","example.spec.js","","","","Select the Product ",""
"passed","Wed Dec 07 13:36:34 GMT 2022","Wed Dec 07 13:36:35 GMT 2022","1321","chromium","example.spec.js","","","","Select the Product ",""
"passed","Wed Dec 07 13:36:45 GMT 2022","Wed Dec 07 13:36:47 GMT 2022","2162","webkit","example.spec.js","","","","Check out",""
"passed","Wed Dec 07 13:36:35 GMT 2022","Wed Dec 07 13:36:36 GMT 2022","1225","chromium","example.spec.js","","","","Check out",""
"passed","Wed Dec 07 13:36:40 GMT 2022","Wed Dec 07 13:36:41 GMT 2022","1004","firefox","example.spec.js","","","","Check out",""
"passed","Wed Dec 07 13:36:37 GMT 2022","Wed Dec 07 13:36:40 GMT 2022","2746","firefox","example.spec.js","","","","Select the Product ",""
