"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 14:02:42 GMT 2022","Tue Nov 29 14:02:45 GMT 2022","2994","webkit","example.spec.js","","","","Login into application",""
"passed","Tue Nov 29 14:02:38 GMT 2022","Tue Nov 29 14:02:40 GMT 2022","2667","firefox","example.spec.js","","","","Login into application",""
"passed","Tue Nov 29 14:02:35 GMT 2022","Tue Nov 29 14:02:36 GMT 2022","1238","chromium","example.spec.js","","","","Login into application",""
"passed","Tue Nov 29 14:02:40 GMT 2022","Tue Nov 29 14:02:41 GMT 2022","616","firefox","example.spec.js","","","","Select product and Navigate to cart",""
"passed","Tue Nov 29 14:02:45 GMT 2022","Tue Nov 29 14:02:47 GMT 2022","1803","webkit","example.spec.js","","","","Select product and Navigate to cart",""
"passed","Tue Nov 29 14:02:36 GMT 2022","Tue Nov 29 14:02:37 GMT 2022","546","chromium","example.spec.js","","","","Select product and Navigate to cart",""
