"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 29 05:17:22 GMT 2022","Tue Nov 29 05:17:22 GMT 2022","671","firefox","example.spec.js","","","","Select product and Navigate to cart",""
"passed","Tue Nov 29 05:17:18 GMT 2022","Tue Nov 29 05:17:22 GMT 2022","3379","firefox","example.spec.js","","","","Login into application",""
