"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 05 11:52:48 GMT 2022","Mon Dec 05 11:52:52 GMT 2022","4404","webkit","example.spec.js","","","","Select the Product ",""
"passed","Mon Dec 05 11:52:39 GMT 2022","Mon Dec 05 11:52:41 GMT 2022","1586","chromium","example.spec.js","","","","Check out",""
"passed","Mon Dec 05 11:52:37 GMT 2022","Mon Dec 05 11:52:39 GMT 2022","2161","chromium","example.spec.js","","","","Select the Product ",""
"passed","Mon Dec 05 11:52:52 GMT 2022","Mon Dec 05 11:52:55 GMT 2022","2990","webkit","example.spec.js","","","","Check out",""
"passed","Mon Dec 05 11:52:42 GMT 2022","Mon Dec 05 11:52:46 GMT 2022","3880","firefox","example.spec.js","","","","Select the Product ",""
"passed","Mon Dec 05 11:52:46 GMT 2022","Mon Dec 05 11:52:46 GMT 2022","746","firefox","example.spec.js","","","","Check out",""
