"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 09 05:28:08 GMT 2022","Fri Dec 09 05:28:09 GMT 2022","1067","firefox","example.spec.js","","","","Check out",""
"passed","Fri Dec 09 05:28:13 GMT 2022","Fri Dec 09 05:28:16 GMT 2022","2377","webkit","example.spec.js","","","","Check out",""
"passed","Fri Dec 09 05:28:10 GMT 2022","Fri Dec 09 05:28:13 GMT 2022","3200","webkit","example.spec.js","","","","Select the Product ",""
"passed","Fri Dec 09 05:28:03 GMT 2022","Fri Dec 09 05:28:05 GMT 2022","1225","chromium","example.spec.js","","","","Check out",""
"passed","Fri Dec 09 05:28:02 GMT 2022","Fri Dec 09 05:28:03 GMT 2022","1318","chromium","example.spec.js","","","","Select the Product ",""
"passed","Fri Dec 09 05:28:05 GMT 2022","Fri Dec 09 05:28:08 GMT 2022","2774","firefox","example.spec.js","","","","Select the Product ",""
